#Fecha,Importe,Orgánica,Funcional,Económica,Tercero,Nombre Ter.,Texto Libre
2013-01-24,123922.2,0,11,912,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,"AMORTIZACION CAPITAL RECIBO 14 PERIODO 25/10/2012 A 24/01/2013 PRESTAMO BBVA 2.000.000,00 €"
2013-01-24,7887.02,0,11,31000,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,"INTERESES RECIBO 14 PERIODO 25/10/2012 A 24/01/2013 PRESTAMO BBVA 2.000.000,00 €"
2013-01-24,82658.76,0,11,912,A14010342,ALTAE BANCO SA -BANKIA-,"AMORTIZACION CAPITAL RECIBO 26 PERIODO LIQUIDADO 24/12/2012 A 24/01/2013 CAPITAL CONCEDIDO 4.000.000,00 €"
2013-01-24,4739.09,0,11,31000,A14010342,ALTAE BANCO SA -BANKIA-,"INTERESES RECIBO 26 PERIODO LIQUIDADO 24/12/2012 A 24/01/2013 CAPITAL CONCEDIDO 4.000.000,00 €"
2013-01-02,23115.85,0,11,912,A65587198,CATALUNYA BANC SA,APLICACION CAPITAL PENDIENTE EJERCICIO 2012
2013-02-25,23115.85,0,11,912,A65587198,CATALUNYA BANC SA,AMORTIZACION CAPITAL PERIODO 24/11/2012 A 23/02/2013
2013-01-02,82510.24,0,11,912,A14010342,ALTAE BANCO SA -BANKIA-,APLICACION A PRESUPUESTO
2013-02-24,83282.33,0,11,912,A14010342,ALTAE BANCO SA -BANKIA-,"AMORTIZACION CAPITAL PERIODO 24/01/2013 A 24/02/2013 RECIBO 27  PRESTAMO BANKIA 4.000.000,00"
2013-03-05,21818.76,0,11,912,A14010342,ALTAE BANCO SA -BANKIA-,"AMORTIZACION CAPITAL RECIBO 35 PERIODO 05/12/2012 A 05/03/2013 PRESTAMO 1.200.000,00 €"
2013-01-02,69286.8,0,11,912,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,APLICACION  RESTO PRESTAMO LIQUIDACION DEL 16/12/2011 A 15/12/2012 RECIBO 1/3
2013-01-02,150310.09,0,11,912,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,APLICACION AMORTIZACION PERIODO 01/10/2012 A 31/12/2012  RECIBO 52/73
2013-03-31,150310.09,0,11,912,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,AMORTIZACION CAPITAL PERIODO LIQUIDADO 01/01/2013 A 31/03/2013 RECIBO 53/73
2013-03-24,6397.3,0,11,912,A14010342,ALTAE BANCO SA -BANKIA-,"AMORTIZACION PARCIAL RECIBO 28 PERIODO 24/02/2013 A 24/03/2013 PRESTAMO 11672229/48 4.OOO.OOO,00 €"
2013-03-24,77002.32,0,11,912,A14010342,ALTAE BANCO SA -BANKIA-,"AMORTIZACION RESTO RECIBO 28 PERIODO 24/02/2013 A 24/03/2013 PRESTAMO 11672229/48 4.OOO.OOO,00 €"
2013-03-24,266.49,0,11,31000,A14010342,ALTAE BANCO SA -BANKIA-,"INTERESES RECIBO 28 PARCIAL PERIODO 24/02/2013 A 24/03/2013 PRESTAMO 11672229/48 4.OOO.OOO,00 €"
2013-03-24,3207.7,0,11,31000,A14010342,ALTAE BANCO SA -BANKIA-,"INTERESES RECIBO 28 PERIODO 24/02/2013 A 24/03/2013 PRESTAMO 11672229/48 4.OOO.OOO,00 €"
2013-01-01,26442.85,0,11,31000,G24219891,CAJA ESPAÑA DE INVERSIONES,INTERESES O.T. CAJA ESPAÑA PERIODO 30/03/2012 A 30/06/2012
2013-01-01,24477.3,0,11,31000,G24219891,CAJA ESPAÑA DE INVERSIONES,INTERESES O.T. CAJA ESPAÑA PERIODO 30/06/2012 A 30/09/2012
2013-01-01,35855.28,0,11,31000,G58899998,CAIXA D'ESTALVIS I PENSIONS DE BARCELONA -LA CAIXA-,LA CAIXA INTERESES O.T. PERIODO 01/04/2012 A 30/06/2012
2013-01-01,30244.54,0,11,31000,A14010342,ALTAE BANCO SA -BANKIA-,BANKIA INTERESES O.T. PERIODO 29/03/2012 A 29/06/2012
2013-01-01,24291.53,0,11,31000,A14010342,ALTAE BANCO SA -BANKIA-,INTERESES O.T. PERIODO 29/06/2012 A 29/09/2012
2013-01-01,12147.98,0,11,31000,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,INTERESES PRESTAMO BBVA 9519401272 RECIBO 51/73 PERIODO 01/07/2012 A 30/09/2012
2013-01-01,12298.84,0,11,31000,A08000143,BANCO DE SABADELL SA,INTERESES O.T. BANCO SABADELL PERIODO 31/03/2012 A 30/06/2012
2013-01-01,9510.02,0,11,31000,A08000143,BANCO DE SABADELL SA,INTERESES O.T. SABADELL PERIODO 30/06/2012 A 30/09/2012
2013-01-01,29664.08,0,11,31000,G58899998,CAIXA D'ESTALVIS I PENSIONS DE BARCELONA -LA CAIXA-,INTERESES O.T. LA CAIXA PERIODO 01/07/2012 A 30/09/2012
2013-01-01,5331.56,0,11,31000,A14010342,ALTAE BANCO SA -BANKIA-,INTERESES RECIBO 22 PRESTAMO CAJA MADRID RD 5/09 PERIODO 24/08/2012 A 24/09/2012
2013-01-01,5183.84,0,11,31000,A14010342,ALTAE BANCO SA -BANKIA-,INTERESES RECIBO 23 PRESTAMO CAJA MADRID RD 5/09 PERIODO 24/09/2012 A 24/10/2012
2013-01-01,9530.64,0,11,31000,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,"INTERESES PRESTAMO 2009/1/590182 BBVA DE IMPORTE 2.000.000,00 € PERIODO AMORTIZACION 25/07/12 A 24/10/12 RECIBO 13/24"
2013-01-01,876.49,0,11,31000,A14010342,ALTAE BANCO SA -BANKIA-,"INTERESES PERIODO 05/09/2012 A 05/12/2012 PRESTAMO BANKIA 1.200.000,00 € Nº 8262128/31"
2013-01-01,5035.85,0,11,31000,A14010342,ALTAE BANCO SA -BANKIA-,"INTERESES PERIODO 24/10/2012 A 24/11/2012 PRESTAMO 4.000.000,00 € RECIBO 24 Nº 1167229/48"
2013-01-02,208084.59,0,11,31000,A14010342,ALTAE BANCO SA -BANKIA-,APLICACIÓN A PRESUPUESTO INTERESES PRÉSTAMO ICO BANKIA PERÍODO 29/05/12 A 29/08/12.
2013-01-02,25451.79,0,11,31000,A86101375,BANCO CAM SAU,APLICACIÓN A PRESUPUESTO INTERESES PRÉSTAMO ICO CAM PERÍODO 29/05/12 A 29/08/12.
2013-01-02,2455.42,0,11,31000,A39000013,BANCO SANTANDER SA,APLICACIÓN A PRESUPUESTO INTERESES PRÉSTAMO ICO SANTANDER (2) PERÍODO 24/07/12 A 31/10/12.
2013-01-02,28697.94,0,11,31000,A08000143,BANCO DE SABADELL SA,APLICACIÓN A PRESUPUESTO INTERESES PRÉSTAMO ICO BANCO SABADELL PERÍODO 30/08/12 A 29/11/12.
2013-01-02,23754.72,0,11,31000,A86101375,BANCO CAM SAU,APLICACIÓN A PRESUPUESTO INTERESES PRÉSTAMO ICO BANCO CAM PERÍODO 30/08/12 A 29/11/12.
