#Fecha,Importe,Orgánica,Funcional,Económica,Tercero,Nombre Ter.,Texto Libre
2015-01-01,193929.97,0,11,31000,A39000013,BANCO SANTANDER SA,FORMALIZACION INTERESES PERIODO 29/08/2014 A29/11/2014
2015-01-01,79924.98,0,11,31000,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,FORMALIZACION INTERESES BBVA ICO 2012
2015-01-01,65887.71,0,11,31000,A70302039,NCG BANCO SA,FORMALIZACION INTERESES TRIMESTRAL 29/08/2014 A 29/11/2014
2015-01-01,66330.01,0,11,31000,A28000727,BANCO POPULAR ESPAÑOL SA,FORMALIZACION INTERESES TRIMESTRAL 29/08/2014 A 29/11/2014
2015-01-01,20014.26,0,11,31000,A28157360,BANKINTER SA,FORMALIZACION INTERESES PERIODO DEL 29/08/2014 AL 29/11/2014
2015-01-01,21386.57,0,11,31000,F04001475,CAJAMAR CAJA RURAL SCC,FORMALIZACION INTERESES PERIODO 29/08/2014 A 29/11/2014
2015-01-01,17742.12,0,11,31000,A08000143,BANCO DE SABADELL SA,FORMALIZACION INTERESES PERIODO 29/08/2014 A 29/11/2014
2015-01-01,145053.07,0,11,31000,A14010342,ALTAE BANCO SA -BANKIA-,FORMALIZACION INTERESES PERIODO 29/08/2014 A 29/11/2014
2015-01-01,66766.03,0,11,31000,A08663619,CAIXABANK SA,FORMALIZACION INTERESES PERIODO 29/08/2014 A 28/11/2014
2015-01-01,55581.71,0,11,31000,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,INTERESES PERIODO 16/12/2013 A 15/12/2014 PRESTAMO 9546746230
2015-01-01,135725.15,0,11,31000,G58899998,CAIXA D'ESTALVIS I PENSIONS DE BARCELONA -LA CAIXA-,FORMALIZACION RESTO INTERESES PERIODO 30/06/2014 A 29/09/2014
2015-01-01,144930.51,0,11,31000,G58899998,CAIXA D'ESTALVIS I PENSIONS DE BARCELONA -LA CAIXA-,FORMALIZACION RESTO INTERESES PERIODO 30/09/2014 A 29/12/2014
2015-01-01,1788.91,0,11,31000,A39000013,BANCO SANTANDER SA,FORMALIZACION INTERESES DEL 01/07/14 AL 31/10/14 NO CARGADAS EN CUENTA POR INMOVILIZACION JUDICIAL DE CUENTAS
2015-01-24,129690.07,0,11,91300,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,AMORTIZACION PRESTAMO PERIODO 25/10/2014 a 24/01/2015
2015-01-24,2077.94,0,11,31000,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,AMORTIZACION PRESTAMO PERIODO 25/10/2014 a 24/01/2015
2015-01-31,1170.66,0,11,31000,A39000013,BANCO SANTANDER SA,INTERESES PERIODO 31/10/2014 A 31/01/2015
2015-02-28,66020.1,0,11,31000,A39000013,BANCO SANTANDER SA,INTERESES PERIODO 29/11/2014 A 28/02/2015
2015-02-28,13201.33,0,11,31000,A39000013,BANCO SANTANDER SA,INTERESES PERIODO 29/11/2014 A 28/02/2015
2015-02-28,6813.51,0,11,31000,A28157360,BANKINTER SA,INTERESES PERIODO 29/11/2015 A 28/02/2015
2015-02-28,6040,0,11,31000,A08000143,BANCO DE SABADELL SA,INTERESES PERIODO 29/11/2014 A 28/02/2015
2015-02-28,7296.88,0,11,31000,A08000143,BANCO DE SABADELL SA,INTERESES PERIODO 29/11/2014 A 28/02/2015
2015-02-28,27209.08,0,11,31000,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,INTERESES PERIODO 30/11/2014 A 28/02/2015
2015-02-28,7280.69,0,11,31000,F04001475,CAJAMAR CAJA RURAL SCC,INTERESES PERIODO 29/11/2014 A 28/02/2015
2015-03-31,150310.08,0,11,91300,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,PERIODO DE LIQUIDACION 01/01/2015 al 31/03/2015 VENCIMIENTO 61/73
2015-03-31,3663.81,0,11,31000,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA SA,PERIODO DE LIQUIDACION 01/01/2015 al 31/03/2015 VENCIMIENTO 61/73
2015-03-05,22016.82,0,11,91300,A14010342,ALTAE BANCO SA -BANKIA-,PERIODO LIQUIDADO DEL 05/12/2014 A 05/03/2015 RECIBO 43
2015-03-05,169.04,0,11,31000,A14010342,ALTAE BANCO SA -BANKIA-,PERIODO LIQUIDADO DEL 05/12/2014 A 05/03/2015 RECIBO 43
2015-01-27,86041.64,0,11,91300,A14010342,ALTAE BANCO SA -BANKIA-,PERIODO LIQUIDADO DEL 24/12/2014 A 24/01/2015 RECIBO 50
2015-01-27,877.13,0,11,31000,A14010342,ALTAE BANCO SA -BANKIA-,PERIODO LIQUIDADO DEL 24/12/2014 A 24/01/2015 RECIBO 50
2015-02-25,13909.38,0,11,91300,A14010342,ALTAE BANCO SA -BANKIA-,PERIODO LIQUIDADO DEL 24/01/2015 A 24/02/2015 RECIBO 51 COBRO PARCIAL
